Date,^KS11,^N225,^BVSP,^DJI,^FTSE,^RUT,NQ=F,^GSPC,^BSESN,^FCHI,^GDAXI,^HSI,^MXX,^STOXX50E,^STI,^TWII,^AXJO,^GSPTSE
2025-10-06,3549.2099609375,47944.76171875,143608.0,46694.96875,9479.099609375,2486.35009765625,25184.75,6740.27978515625,81790.1171875,7971.77978515625,24378.2890625,26957.76953125,60404.19140625,5628.72021484375,4421.7099609375,26761.060546875,8981.400390625,30531.900390625
2025-10-07,3549.2099609375,47950.87890625,141356.0,46602.98046875,9483.599609375,2458.419921875,25039.25,6714.58984375,81926.75,7974.85009765625,24385.779296875,26957.76953125,60215.75,5613.6201171875,4472.259765625,27211.94921875,8956.7998046875,30351.69921875
2025-10-08,3549.2099609375,47734.98828125,142145.0,46601.78125,9548.900390625,2483.989990234375,25331.0,6753.72021484375,81773.65625,8060.1298828125,24597.130859375,26829.4609375,60888.55859375,5649.72998046875,4456.2998046875,27063.6796875,8947.599609375,30502.0
2025-10-09,3549.2099609375,48580.44140625,141708.0,46358.421875,9509.400390625,2468.85009765625,25289.25,6735.10986328125,82172.1015625,8041.35986328125,24611.25,26752.58984375,60819.30859375,5625.56005859375,4440.5,27301.919921875,8969.7998046875,30270.0
2025-10-10,3610.60009765625,48088.80078125,140680.0,45479.6015625,9427.5,2394.590087890625,24397.0,6552.509765625,82500.8203125,7918.0,24241.4609375,26290.3203125,60568.9296875,5531.31982421875,4427.06005859375,27301.919921875,8958.2998046875,29850.900390625
2025-10-13,3584.550048828125,48088.80078125,141783.0,46067.578125,9442.900390625,2461.419921875,24922.25,6654.72021484375,82327.046875,7934.259765625,24387.9296875,25889.48046875,61045.08984375,5568.18994140625,4389.83984375,26923.419921875,8882.7998046875,29850.900390625
2025-10-14,3561.81005859375,46847.3203125,141683.0,46270.4609375,9452.7998046875,2495.5,24762.5,6644.31005859375,82029.9765625,7919.6201171875,24236.939453125,25441.349609375,60785.62109375,5552.0498046875,4354.52001953125,26793.150390625,8899.400390625,30353.599609375
2025-10-15,3657.280029296875,47672.671875,142604.0,46253.30859375,9424.7998046875,2519.75,24924.5,6671.06005859375,82605.4296875,8077.0,24181.369140625,25910.599609375,61637.5390625,5605.02978515625,4368.419921875,27275.7109375,8990.900390625,30637.099609375
2025-10-16,3748.3701171875,48277.73828125,142200.0,45952.23828125,9436.099609375,2467.02001953125,24831.25,6629.06982421875,83467.65625,8188.58984375,24272.189453125,25888.509765625,62544.55859375,5652.009765625,4356.2001953125,27647.869140625,9068.400390625,30458.80078125
2025-10-17,3748.889892578125,47582.1484375,143399.0,46190.609375,9354.599609375,2452.169921875,24986.5,6664.009765625,83952.1875,8174.2001953125,23830.990234375,25247.099609375,61743.921875,5607.39013671875,4328.93017578125,27302.369140625,8995.2998046875,30108.5
