Date,^CNXAUTO,^CNXCONSUM,NIFTY_FIN_SERVICE.NS,^CNXPHARMA,^CNXSERVICE,^NSEBANK,^CNXIT,^CNXMEDIA,MOCAPITAL.NS,^NSEI,^CNXFMCG,MOTOUR.NS,^CNXMETAL,CPSEETF.NS,HDFCSML250.NS,^CNXMNC,^CNXREALTY,MODEFENCE.NS,^CNXCMDT,NIFTYMIDCAP150.NS,^CNXENERGY,HDFCPVTBAN.NS,^CRSLDX,^NSMIDCP,OILIETF.NS,^CNXINFRA,^CNXPSUBANK
2024-11-11,,,,22344.25,,51876.75,42590.30078125,,,24141.30078125,,,,91.81999969482422,175.42999267578125,,,69.75,,20749.94921875,,25.65999984741211,22591.400390625,69973.75,11.210000038146973,,
2024-11-12,,,,22151.599609375,,51157.80078125,42609.55078125,,,23883.44921875,,,,90.08999633789062,174.35000610351562,,,68.2300033569336,,20560.599609375,,25.3799991607666,22331.05078125,68448.8984375,11.109999656677246,,
2024-11-13,,,,21809.30078125,,50088.3515625,42369.5,,,23559.05078125,,,,88.44000244140625,168.3300018310547,,,65.66000366210938,,20010.75,,24.84000015258789,21914.94921875,67101.453125,10.949999809265137,,
2024-11-14,,,,21752.0,,50179.55078125,42390.8515625,,,23532.69921875,,,,88.16000366210938,169.14999389648438,,,66.2699966430664,,20105.25,,25.040000915527344,21963.099609375,67408.6484375,10.899999618530273,,
2024-11-18,,,,21544.150390625,,50363.80078125,41406.55078125,,,23453.80078125,,,,87.58999633789062,167.91000366210938,,,65.6500015258789,,20068.55078125,,24.8700008392334,21899.400390625,67472.0,10.710000038146973,,
2024-11-19,,,,21768.849609375,,50626.5,41748.3515625,,,23518.5,,,,88.43000030517578,169.27999877929688,,,66.58000183105469,,20258.099609375,,25.020000457763672,22004.349609375,67775.5,10.670000076293945,,
2024-11-21,,,,21740.099609375,,50372.8984375,41952.80078125,,,23349.900390625,,,,87.83999633789062,168.5399932861328,,,65.75,,20180.900390625,,25.139999389648438,21820.849609375,66765.453125,10.529999732971191,,
2024-11-22,,,,21962.05078125,,51135.3984375,43332.1015625,,,23907.25,,,,89.76000213623047,170.1999969482422,,,66.55000305175781,,20412.650390625,,25.299999237060547,22225.55078125,68016.8515625,10.729999542236328,,
2024-11-25,,,,22177.05078125,,52207.5,43618.1484375,,,24221.900390625,,,,92.08999633789062,173.72999572753906,,,68.55000305175781,,20725.69921875,,25.739999771118164,22553.5,69342.703125,11.050000190734863,,
2024-11-26,,,,21961.75,,52191.5,44085.94921875,,,24194.5,,,,91.33000183105469,174.80999755859375,,,70.08999633789062,,20735.099609375,,25.700000762939453,22562.44921875,69522.25,11.0,,
